SSN,SPEC,Year,Nsta,New,Recap,Cap,New_Res1,New_Res0,F_Pradel_Phi,Pradel_Phi,Pradel_Phi_se,Pradel_Phi_lcl,Pradel_Phi_ucl,F_Pradel_Phi_t,Pradel_Phi_t,Pradel_Phi_t_se,Pradel_Phi_t_lcl,Pradel_Phi_t_ucl,F_Pradel_Phi_Trend,Pradel_Phi_Trend,Pradel_Phi_Trend_se,Pradel_Phi_Trend_lcl,Pradel_Phi_Trend_ucl,Pradel_Phi_Trend_beta,Pradel_Phi_Trend_beta_se,Pradel_Phi_Trend_beta_lcl,Pradel_Phi_Trend_beta_ucl,F_Pradel_Phi_dot,Pradel_Phi_dot,Pradel_Phi_dot_se,Pradel_Phi_dot_lcl,Pradel_Phi_dot_ucl,F_Pradel_p,Pradel_p,Pradel_p_se,Pradel_p_lcl,Pradel_p_ucl,F_Pradel_p_t,Pradel_p_t,Pradel_p_t_se,Pradel_p_t_lcl,Pradel_p_t_ucl,F_Pradel_p_dot,Pradel_p_dot,Pradel_p_dot_se,Pradel_p_dot_lcl,Pradel_p_dot_ucl,F_Lambda,Lambda,Lambda_se,Lambda_lcl,Lambda_ucl,F_Lambda_t,Lambda_t,Lambda_t_se,Lambda_t_lcl,Lambda_t_ucl,F_Lambda_Trend,Lambda_Trend,Lambda_Trend_se,Lambda_Trend_lcl,Lambda_Trend_ucl,Lambda_Trend_beta,Lambda_Trend_beta_se,Lambda_Trend_beta_lcl,Lambda_Trend_beta_ucl,F_Lambda_dot,Lambda_dot,Lambda_dot_se,Lambda_dot_lcl,Lambda_dot_ucl
6160,COGD,1994,1,1,0,1,0,1,,0.434824,0.197937,0.13695,0.788592,V,0.335249,4.365473,0,1,,0.468664,0.300994,0.076236,0.904096,-0.02974,0.172996,-0.36881,0.30933,,0.422656,0.111202,0.230572,0.64137,,0.042535,0.030811,0.009983,0.16368,V,0.016052,0.030265,0.000381,0.41094,,0.052781,0.024206,0.021116,0.125824,Y,1.338128,1.461292,0.157373,11.37791,Y,1.511147,1.673061,0.172537,13.23515,,0.880486,0.484211,0.299644,2.587248,-0.00121,0.074184,-0.14662,0.144184,,0.875798,0.134272,0.648485,1.182789
6160,COGD,1995,2,11,0,11,1,10,,0.432788,0.167343,0.167061,0.743765,X,0.000008,0.004661,0,1,,0.46136,0.264705,0.095986,0.873569,-0.02974,0.172996,-0.36881,0.30933,,0.422656,0.111202,0.230572,0.64137,,0.045857,0.029986,0.012387,0.155513,,0.027959,0.035561,0.002208,0.272095,,0.052781,0.024206,0.021116,0.125824,X,27.44547,3644.924,0,3.1E+11,X,37.41452,4274.347,0,6.6E+98,,0.879311,0.421349,0.343759,2.249208,-0.00121,0.074184,-0.14662,0.144184,,0.875798,0.134272,0.648485,1.182789
6160,COGD,1996,4,14,0,14,0,14,,0.430826,0.152117,0.183268,0.718572,X,0.000007,0.001471,0,1,,0.453956,0.228255,0.120307,0.834812,-0.02974,0.172996,-0.36881,0.30933,,0.422656,0.111202,0.230572,0.64137,,0.049336,0.030653,0.01421,0.157421,,0.040433,0.041758,0.005085,0.257823,,0.052781,0.024206,0.021116,0.125824,N,0.431995,0.328377,0.097371,1.916571,D,0.26524,0.169669,0.075705,0.929281,,0.878202,0.360062,0.393184,1.961519,-0.00121,0.074184,-0.14662,0.144184,,0.875798,0.134272,0.648485,1.182789
6160,COGD,1997,3,15,0,15,0,15,,0.429058,0.138757,0.198467,0.695193,V,0.703618,0.790175,0.001411,0.999749,,0.446497,0.192779,0.148839,0.788191,-0.02974,0.172996,-0.36881,0.30933,,0.422656,0.111202,0.230572,0.64137,,0.041305,0.028104,0.010606,0.147605,,0.011644,0.009841,0.0022,0.05923,,0.052781,0.024206,0.021116,0.125824,X,2.669128,1.85137,0.685401,10.39426,X,3.341884,1.743852,1.201743,9.293322,,0.877154,0.300932,0.447755,1.718344,-0.00121,0.074184,-0.14662,0.144184,,0.875798,0.134272,0.648485,1.182789
6160,COGD,1998,3,65,1,66,12,53,,0.426954,0.126344,0.213085,0.672133,,0.285084,0.316963,0.018568,0.893668,,0.439029,0.160057,0.179624,0.73666,-0.02974,0.172996,-0.36881,0.30933,,0.422656,0.111202,0.230572,0.64137,,0.051078,0.026569,0.01805,0.136162,,0.046677,0.031452,0.012103,0.163648,,0.052781,0.024206,0.021116,0.125824,,0.899718,0.166423,0.626116,1.29288,,0.908659,0.164166,0.637693,1.294761,,0.876161,0.245178,0.506274,1.516289,-0.00121,0.074184,-0.14662,0.144184,,0.875798,0.134272,0.648485,1.182789
6160,COGD,1999,5,58,2,60,3,55,,0.42519,0.117821,0.223328,0.655514,V,0.974977,0.134051,0.000818,0.999999,,0.431599,0.13297,0.207888,0.687195,-0.02974,0.172996,-0.36881,0.30933,,0.422656,0.111202,0.230572,0.64137,,0.051549,0.025234,0.01938,0.130032,,0.048365,0.027461,0.015537,0.140643,,0.052781,0.024206,0.021116,0.125824,,1.146583,0.282428,0.707508,1.858142,,1.248242,0.251197,0.841392,1.85182,,0.87522,0.195368,0.565075,1.355589,-0.00121,0.074184,-0.14662,0.144184,,0.875798,0.134272,0.648485,1.182789
6160,COGD,2000,8,116,3,119,8,108,,0.422995,0.112566,0.228913,0.644162,,0.141092,0.158007,0.012594,0.679026,,0.424254,0.115814,0.225368,0.651122,-0.02974,0.172996,-0.36881,0.30933,,0.422656,0.111202,0.230572,0.64137,,0.057357,0.028385,0.021281,0.145494,,0.069184,0.034348,0.025464,0.174527,,0.052781,0.024206,0.021116,0.125824,,0.766346,0.13425,0.543634,1.080297,,0.725421,0.106029,0.544719,0.966065,,0.874328,0.15693,0.615023,1.242959,-0.00121,0.074184,-0.14662,0.144184,,0.875798,0.134272,0.648485,1.182789
6160,COGD,2001,9,82,2,84,4,78,,0.421113,0.111789,0.228464,0.641204,,0.245427,0.29114,0.014709,0.876333,,0.417036,0.112785,0.223701,0.639759,-0.02974,0.172996,-0.36881,0.30933,,0.422656,0.111202,0.230572,0.64137,,0.053695,0.024964,0.021201,0.129402,,0.056056,0.026681,0.021624,0.137599,,0.052781,0.024206,0.021116,0.125824,,0.802321,0.134119,0.578169,1.113374,,0.774976,0.122874,0.567969,1.057429,,0.873481,0.1393,0.639003,1.193998,-0.00121,0.074184,-0.14662,0.144184,,0.875798,0.134272,0.648485,1.182789
6160,COGD,2002,8,63,4,67,3,60,,0.419371,0.115136,0.222331,0.64598,,0.665634,0.401359,0.054886,0.985557,,0.409989,0.123988,0.20284,0.654892,-0.02974,0.172996,-0.36881,0.30933,,0.422656,0.111202,0.230572,0.64137,,0.052421,0.024638,0.020496,0.127591,,0.05149,0.025697,0.018987,0.132137,,0.052781,0.024206,0.021116,0.125824,X,29612641,41395875,0,2.9E+12,X,40723804,48544328,0,12000000000,,0.872677,0.149781,0.623382,1.221665,-0.00121,0.074184,-0.14662,0.144184,,0.875798,0.134272,0.648485,1.182789
6160,COGD,2003,5,55,0,55,8,47,,0.417556,0.121921,0.211585,0.656958,,0.661306,0.619623,0.008551,0.997742,,0.40315,0.145021,0.171697,0.687601,-0.02974,0.172996,-0.36881,0.30933,,0.422656,0.111202,0.230572,0.64137,,0.053714,0.02664,0.019915,0.136863,,0.056124,0.031962,0.017898,0.162484,,0.052781,0.024206,0.021116,0.125824,,0.673657,0.185118,0.393122,1.154384,N,0.598187,0.134051,0.385551,0.928094,,0.871914,0.183474,0.577237,1.317023,-0.00121,0.074184,-0.14662,0.144184,,0.875798,0.134272,0.648485,1.182789
